case,n,raw_MAE,corr_MAE,raw_bias,corr_bias,raw_LoA,corr_LoA,raw_CCC,corr_CCC,raw_ICC,corr_ICC,raw_r,corr_r,wilcoxon_p
aihub_mediapipe,137264,14.31,7.04,-3.02,0.06,"[-42.8,36.8]","[-21.8,21.9]",0.85,0.959,0.85,0.959,0.863,0.961,0.00e+00
aihub_motionbert,349720,28.26,4.74,-18.89,-0.11,"[-86.4,48.6]","[-13.6,13.4]",0.599,0.985,0.599,0.985,0.662,0.985,0.00e+00
aihub_nlf,348472,8.67,3.75,-6.77,0.01,"[-27.5,14.0]","[-10.9,10.9]",0.957,0.99,0.957,0.99,0.974,0.99,0.00e+00
aihub_rtmw3d,349720,18.99,5.27,-12.03,-0.01,"[-56.7,32.7]","[-15.3,15.3]",0.793,0.98,0.793,0.98,0.832,0.981,0.00e+00
ex6_mediapipe,26964,12.29,8.16,6.61,-0.63,"[-22.1,35.3]","[-21.7,20.4]",0.886,0.955,0.886,0.955,0.928,0.957,0.00e+00
ex6_motionbert,65211,10.26,6.57,5.37,-0.61,"[-26.0,36.7]","[-18.5,17.3]",0.884,0.967,0.884,0.967,0.898,0.968,0.00e+00
ex6_nlf,65211,4.71,4.11,0.14,-0.69,"[-12.2,12.5]","[-11.2,9.8]",0.986,0.989,0.986,0.989,0.989,0.989,2.92e-309
ex6_rtmw3d,65211,14.38,5.93,12.33,-0.71,"[-20.8,45.5]","[-16.1,14.7]",0.813,0.975,0.813,0.975,0.888,0.976,0.00e+00
fit3d_mediapipe,6976,20.37,13.26,10.18,-1.75,"[-35.4,55.7]","[-33.9,30.4]",0.739,0.908,0.739,0.908,0.829,0.913,4.05e-198
fit3d_motionbert,6994,9.53,6.28,-8.44,1.65,"[-23.0,6.1]","[-13.1,16.4]",0.962,0.981,0.962,0.981,0.983,0.982,5.05e-217
fit3d_nlf,6994,6.68,4.71,-5.98,-1.83,"[-16.3,4.3]","[-11.8,8.1]",0.982,0.991,0.982,0.991,0.995,0.992,0.00e+00
fit3d_rtmw3d,6994,11.2,10.11,6.42,-2.02,"[-21.0,33.8]","[-26.3,22.3]",0.926,0.951,0.926,0.951,0.938,0.952,1.58e-11
pooled4_nlf,872000,8.74,4.46,-6.74,-0.15,"[-25.2,11.8]","[-12.2,11.9]",0.959,0.987,0.959,0.987,0.978,0.987,0.00e+00
sume_mediapipe,77692,12.65,7.03,1.89,-0.01,"[-30.5,34.3]","[-18.4,18.4]",0.873,0.965,0.873,0.965,0.896,0.966,0.00e+00
sume_motionbert,451323,6.76,5.39,1.09,-0.23,"[-16.3,18.4]","[-14.3,13.8]",0.97,0.98,0.97,0.98,0.971,0.98,0.00e+00
sume_nlf,451323,9.41,5.34,-7.71,-0.54,"[-24.3,8.9]","[-14.4,13.3]",0.957,0.981,0.957,0.981,0.981,0.981,0.00e+00
sume_rtmw3d,451323,12.71,5.76,6.63,-0.15,"[-26.9,40.2]","[-15.4,15.1]",0.868,0.976,0.868,0.976,0.884,0.977,0.00e+00
