cell,n_subj,ExtraTrees_imp%,CI95,vs_MLP,vs_MLPdirect,vs_SavGol,vs_Kalman,vs_SmoothNet,vs_TCN,vs_Diffusion
aihub,46,50.8,"[49.4,52.0]",ours>*(p=2.1e-07),ours>*(p=9.7e-08),ours<*(p=1.4e-13),ours<*(p=1.7e-13),ours<*(p=8.5e-14),ours<*(p=1.1e-13),
aihub_motionbert,44,82.9,"[81.7,84.0]",ours>*(p=2.5e-05),ours>*(p=3.5e-04),ours<*(p=5.7e-13),ours<*(p=6.8e-13),ours<*(p=3.4e-13),ours<*(p=4.5e-13),
aihub_nlf,44,56.5,"[54.1,58.8]",ours<*(p=3.4e-10),ours<*(p=3.1e-05),ours<*(p=5.7e-13),ours<*(p=6.8e-13),ours<*(p=3.4e-13),ours<*(p=4.5e-13),
aihub_rtmw3d,44,71.5,"[69.5,73.1]",ours>*(p=5.8e-09),ours>*(p=3.4e-10),ours<*(p=5.7e-13),ours<*(p=6.8e-13),ours<*(p=3.4e-13),ours<*(p=4.5e-13),
ex6,9,32.8,"[25.3,40.4]",ours<ns(p=6.0e-01),ours<ns(p=5.9e-02),ours<*(p=2.3e-02),ours<*(p=2.7e-02),ours>ns(p=4.9e-01),ours>ns(p=9.1e-01),ours<ns(p=1.1e-01)
ex6_motionbert,9,40.5,"[32.3,48.1]",ours<ns(p=1.2e-01),ours<ns(p=2.0e-01),ours<*(p=2.3e-02),ours<*(p=2.7e-02),ours<*(p=1.6e-02),ours<*(p=2.0e-02),ours<ns(p=4.3e-01)
ex6_nlf,9,13.2,"[-4.3,27.7]",ours<ns(p=2.3e-01),ours<ns(p=1.9e-01),ours<ns(p=3.9e-01),ours<ns(p=3.9e-01),ours<ns(p=1.0e+00),ours<ns(p=8.2e-01),ours<ns(p=2.7e-01)
ex6_rtmw3d,9,59.4,"[53.1,65.5]",ours<ns(p=5.7e-01),ours<ns(p=5.0e-01),ours<*(p=2.3e-02),ours<*(p=2.7e-02),ours<*(p=1.6e-02),ours<*(p=2.0e-02),ours<ns(p=7.5e-01)
fit3d,3,29.2,"[-9.5,56.6]",,,,,,,
fit3d_motionbert,3,10.8,"[-91.5,68.3]",,,,,,,
fit3d_nlf,3,27.0,"[6.7,42.7]",,,,,,,
fit3d_rtmw3d,3,-1.1,"[-67.4,46.7]",,,,,,,
pooled4,84,42.9,"[41.0,44.7]",ours>*(p=1.6e-04),ours>*(p=2.1e-04),,,ours<*(p=7.8e-14),,
sume,26,44.0,"[39.1,48.3]",ours<*(p=1.2e-05),ours<*(p=8.2e-04),ours<*(p=1.8e-07),ours<*(p=2.1e-07),ours<*(p=4.5e-07),ours<*(p=1.2e-06),ours<*(p=4.1e-04)
sume_motionbert,26,21.9,"[14.2,29.5]",ours<*(p=1.6e-05),ours<*(p=3.7e-05),ours<*(p=9.6e-05),ours<*(p=2.1e-07),ours<*(p=1.4e-04),ours<*(p=6.1e-03),ours<*(p=1.8e-06)
sume_nlf,26,32.8,"[15.2,48.8]",ours<*(p=1.5e-04),ours<*(p=3.3e-02),ours<*(p=1.6e-04),ours<*(p=2.1e-07),ours<*(p=1.6e-04),ours>ns(p=5.8e-02),ours<*(p=4.8e-03)
sume_rtmw3d,26,55.6,"[51.3,59.6]",ours<*(p=4.8e-03),ours<*(p=3.6e-03),ours<*(p=1.8e-07),ours<*(p=2.1e-07),ours<*(p=1.2e-07),ours<*(p=1.5e-07),ours<*(p=2.2e-03)
