held_out,k,n_draws,n_test_subj,pooled_mean,pooled_std,subjmean_mean,deep_mean,deep_std
AIHub,0,1,44,28.64700872602063,0.0,29.033206234004595,36.375195074680526,0.0
AIHub,1,5,43,38.37221873347981,3.6972998950465814,38.562457996831384,43.659183058423345,3.8915144619141
AIHub,2,5,42,37.47529964867615,4.459669037978173,37.16005104871398,41.36809721952959,6.472058480490268
AIHub,3,5,41,44.89107145188372,3.181066535978198,45.02952913624165,46.628574374260644,2.696135198933799
SUMediPose,0,1,26,28.406438574198546,0.0,22.705316466836738,36.91417541376495,0.0
SUMediPose,1,5,25,34.56460704951801,3.01720617765987,28.31911404040806,42.901443113911895,2.636452290281651
SUMediPose,2,5,24,37.7670585874777,3.337308923049759,32.34697704773792,48.44771631850741,2.8392496313707833
SUMediPose,3,5,23,40.0730208451529,2.4037585202563,34.36857122330137,49.336599547047655,2.469760178943344
REHAB,0,1,9,-49.12384960850885,0.0,-52.241981108441465,-32.39419059974493,0.0
REHAB,1,5,8,-27.972745164115672,8.564676822590382,-31.513319017862095,-14.81169254765258,5.705882206734773
REHAB,2,5,7,-19.079619089951148,6.6321064923237945,-22.379130049861317,-11.401443021659734,9.103811085891063
REHAB,3,5,6,-12.112714297989921,8.59227627235088,-15.434455031757304,-3.450620686211515,9.226974272460836
FiT3D,0,1,3,30.850687549034532,0.0,23.64467913571904,59.51150710697362,0.0
FiT3D,1,3,2,30.764244445063827,15.116202831198262,25.025799385847254,58.9263888464664,10.476588310687527
FiT3D,2,3,1,25.904089302168106,37.7959679963226,25.904089302168106,54.62556061864169,27.597174450318516
