held_out,k,n_draws,n_test_subj,pooled_mean,pooled_std,subjmean_mean,deep_mean,deep_std
AIHub,0,1,46,-11.123300399424311,0.0,-11.371687541155055,28.034068306428573,0.0
AIHub,1,5,45,14.253920545917747,1.0132416323161935,14.281929526157544,32.47365716702664,2.592808377020998
AIHub,2,5,44,20.332499709228426,1.2744924012232715,20.442283271575796,35.0979309978717,3.7989696525902867
AIHub,3,5,43,22.71814251877997,1.3960022359917612,22.81743965114346,34.935087317563855,2.1664698240155005
SUMediPose,0,1,26,21.255388977562387,0.0,21.529152836807647,16.617650444836055,0.0
SUMediPose,1,5,25,24.753046861338987,0.8981461364655413,25.05253467966402,22.240112753050674,1.6531891372306222
SUMediPose,2,5,24,26.654332399480307,1.1087478549898397,26.992048412567907,25.330212119515103,2.428924971395413
SUMediPose,3,5,23,27.338464208466103,1.1670908836970835,27.529988480210186,26.11279103385874,1.8099702710102188
REHAB,0,1,9,2.066095635645301,0.0,2.5149104408309904,0.0267800875405954,0.0
REHAB,1,5,8,17.531344385688982,3.5430640978244647,18.085507855212047,25.130339139987306,6.265857050023925
REHAB,2,5,7,19.897040010984494,3.9966938079911154,20.59156954979933,31.034565306358086,7.849690582537281
REHAB,3,5,6,26.955890917238747,2.549650955680846,27.55603166273145,41.366708890826445,5.3039165165936115
FiT3D,0,1,3,23.77387295702498,0.0,25.15151509557606,34.78582709289376,0.0
FiT3D,1,3,2,29.667512103884224,5.915176457264581,30.516853510441447,43.618098887136476,9.143695130152114
FiT3D,2,3,1,34.631307784359066,7.304324123110234,34.631307784359066,51.62979073322972,11.584715966098523
