held_out,k,n_draws,n_test_subj,pooled_mean,pooled_std,subjmean_mean,deep_mean,deep_std
AIHub,0,1,46,-11.123300399424313,0.0,-11.371687541155056,28.034068306428573,0.0
AIHub,1,46,45,13.005380252326836,2.8329813945793005,13.014263315760722,33.015334001958074,3.940732740515709
AIHub,2,5,44,20.332499709228426,1.2744924012232717,20.4422832715758,35.0979309978717,3.798969652590287
AIHub,3,5,43,22.71814251877997,1.3960022359917612,22.81743965114346,34.935087317563855,2.1664698240155005
FiT3D,0,1,3,23.77387295702498,0.0,25.15151509557606,34.78582709289376,0.0
FiT3D,1,3,2,29.667512103884224,5.915176457264581,30.516853510441447,43.61809888713648,9.143695130152114
FiT3D,2,3,1,34.631307784359066,7.304324123110234,34.631307784359066,51.62979073322972,11.584715966098525
REHAB,0,1,9,2.066095635645301,0.0,2.5149104408309904,0.0267800875405954,0.0
REHAB,1,9,8,15.914429704728812,3.7205412836427234,16.53126109392596,23.00804344109933,5.952478198454651
REHAB,2,5,7,19.89704001098449,3.9966938079911154,20.59156954979933,31.03456530635809,7.849690582537281
REHAB,3,5,6,26.955890917238747,2.549650955680846,27.55603166273145,41.366708890826445,5.303916516593612
SUMediPose,0,1,26,21.255388977562387,0.0,21.529152836807647,16.617650444836055,0.0
SUMediPose,1,26,25,23.946425628529894,1.2812662198532931,24.25587404663325,20.657714916338072,2.5162887253501505
SUMediPose,2,5,24,26.654332399480307,1.1087478549898395,26.992048412567907,25.330212119515103,2.428924971395413
SUMediPose,3,5,23,27.338464208466103,1.1670908836970837,27.529988480210186,26.11279103385874,1.8099702710102188
