set,frames,mae_raw,mae_corrected,rmse_raw,rmse_corrected,improvement_pct,subject_id
CA01,3152,12.206880061177534,4.192554103600251,14.934353092361619,5.411397113797209,65.65417139688175,CA01
CA02,1016,8.45416503969605,4.68631350771342,10.65560804374222,7.756389392225221,44.567991212507664,CA02
CA03,1776,8.477858007135831,6.066188830133568,10.430514182335195,7.894133852287065,28.44668045834639,CA03
CA04,3048,11.096667905283974,4.0474085732099425,12.87726820760658,5.129635723636105,63.52591059084808,CA04
CA05,1264,6.666103970340261,7.226982013514246,9.002856368556994,9.118145126120451,-8.413880816583722,CA05
CA06,1344,6.8537329436174055,5.277155662537031,9.097200015891971,6.928104302277364,23.00319102086659,CA06
CA07,936,9.218350934191053,4.259936046347938,10.703855826201558,5.086765367793487,53.78852381777149,CA07
CA08,2664,17.220950624503686,4.297902630710837,19.98350163556379,5.428114938637606,75.04259361503915,CA08
CA09,664,8.291273163803591,5.122209221028872,10.542999012756217,6.036032739421954,38.22168055696916,CA09
CA10,5478,13.542168525943746,4.125237367513738,16.164690655861126,5.26843047337279,69.5378376099019,CA10
CA11,2336,16.432090788492225,4.727585075446081,18.257923366909736,5.955846648036683,71.22955845182575,CA11
CB01,568,17.581740415030016,4.2757135895474025,18.93424468431835,5.145661399089033,75.68094233781176,CB01
CB02,2024,7.8457734165471855,3.6538911852211866,9.453157573722597,4.752172894481858,53.42854055006329,CB02
CB03,1048,9.30953878189904,3.5852723968865963,10.332784676185248,4.986082224793432,61.48818452899509,CB03
CB05,1048,7.850835168385211,3.6588921177611797,9.449449401249211,4.736341585324929,53.394867688786874,CB05
CB06,1987,12.113337827966113,4.755625589397832,13.947712590855696,5.949957910518133,60.7405848252783,CB06
CB07,2368,17.508677501831226,6.070634623994278,19.562349361551753,7.642149951314899,65.32785172746856,CB07
CB08,760,9.598066501255435,2.7119909026519524,10.712597245695079,3.339408519298923,71.7444039140881,CB08
CB09,1456,10.831417819434442,4.9782817028271396,13.23006540344723,6.696031275057503,54.038503676824476,CB09
CB10,1144,11.183602114890114,3.2913882259208314,12.544601382815513,4.244233983177418,70.56951604583107,CB10
CB11,1936,11.844164091484025,4.568754610315866,14.472589447940726,5.8588568033234685,61.42611183848079,CB11
CB12,4136,14.587567537942657,4.125926350656595,17.094508884751754,5.198252762598358,71.71614568415914,CB12
CB13,2944,10.817042293125485,4.103474457978526,12.544318027421673,5.20412395574486,62.06472761425375,CB13
CB14,607,15.763710928099021,4.123192442733159,17.964150760623443,5.568407889375127,73.8437702801089,CB14
CB16,1560,16.628567773277652,3.946069217098686,18.087540711699877,4.996793246065266,76.26933797966609,CB16
CB17,566,11.295332679908944,2.457422279226077,12.493591438342138,3.1369934150489978,78.2439141115595,CB17
CB18,1936,9.650932887016502,4.113838499402584,11.78791952907073,5.202912622481011,57.37367001135225,CB18
CB19,1240,11.998077096524943,3.4583178449779584,13.554125327189062,4.423817051692312,71.17606582158396,CB19
CB20,504,10.209800903627187,4.053919602231033,11.981369484911681,5.135860912906213,60.29384274485885,CB20
CB22,1304,12.39600152066301,4.093082569908768,14.027093224185595,5.247062360847845,66.98062223462968,CB22
CB23,1320,16.361694196400222,3.260647161710482,18.844049416289582,4.44669053305725,80.07145762186495,CB23
CB24,1785,13.931398061448816,5.011212293796208,15.513175706005619,6.881084393307546,64.02936538247864,CB24
CB25,542,22.5981065086628,20.07610843816378,41.34275958985428,41.26865554514895,11.160218532168757,CB25
CB26,1424,9.343048037033657,6.7126953923523365,11.073153710980542,8.29008740147514,28.153046353344415,CB26
CI01,656,8.479245230971474,2.88857158307881,9.523282554225137,3.721724480603348,65.93362375547352,CI01
CI02,648,10.642010643720578,5.011887406449982,12.163660216634497,6.388021654664633,52.9046946649382,CI02
CI03,1128,11.112547567900217,3.8918576873831934,13.11637885014725,4.693590055103307,64.97780852137595,CI03
CI04,1336,9.468139338208784,4.51735766579226,12.47467748703506,5.586041708351878,52.288855239356145,CI04
CI05,1058,22.23769281252421,6.614475361479139,25.565362040065242,8.959415178245939,70.25556824962577,CI05
CI06,8379,9.59785229322081,4.528494062575198,11.26227318318336,5.586614730702317,52.81763123429416,CI06
CI07,3506,11.618672675483538,5.2420104122001305,13.991419578705974,6.648759658438366,54.88288069891794,CI07
CI08,360,6.084000563753127,5.076772701509194,6.82426451743567,6.065151124357685,16.555354518616117,CI08
CI09,2240,12.695821090305223,5.1984397064940095,14.217545048075607,6.9252973464930605,59.05393066334529,CI09
