set,frames,mae_raw,mae_corrected,rmse_raw,rmse_corrected,improvement_pct,subject_id,view_type
PM_008_front,2050,9.822143125412762,9.635541629847403,12.311993935525352,11.35903539404532,1.8998042808250908,PM_008,front
PM_008_side,1025,20.55805830091815,15.197033581928194,22.85278777953166,17.710624934621464,26.077485726122912,PM_008,side
PM_022_front,833,11.603737419401147,12.30134701282204,14.797774344845063,14.08999444126465,-6.011938810805109,PM_022,front
PM_022_side,833,27.13653876346674,22.72690847261273,28.756171609599186,24.72328779864399,16.249788999585256,PM_022,side
PM_029_front,1096,23.570059936637126,25.743764818697443,32.23395128357374,33.39273908774602,-9.222313765445826,PM_029,front
PM_029_side,1096,22.97842932994114,18.36605807287096,25.216603839157813,21.434463960387312,20.07261327936027,PM_029,side
PM_038_front,743,8.43092129936639,9.465605294259529,10.29253499334495,10.847317304023969,-12.272490255257152,PM_038,front
PM_038_side,743,14.591777546463685,12.615989076438671,16.298524716963165,14.399362666977717,13.540423459264195,PM_038,side
PM_043_front,677,16.28983422177652,16.346535001402348,17.780008796403024,18.02899665181643,-0.34807462650558807,PM_043,front
PM_043_side,677,25.441375396301382,19.893636051602495,28.660526820246652,23.18152331183273,21.805972587100797,PM_043,side
PM_105_front,840,14.859673485141869,15.541002230703358,16.14661811298631,17.638202837734045,-4.585085575687424,PM_105,front
PM_105_side,840,24.164194592496663,19.984183595266778,26.130888061661185,22.648810077266866,17.298366726974795,PM_105,side
PM_113_front,1123,17.627616807122806,18.87256987059274,21.88011862522944,22.783106361986754,-7.0625148997276055,PM_113,front
PM_113_side,1123,21.095205242186562,15.645950682905488,23.600487535284056,18.386247406982253,25.83172098455605,PM_113,side
PM_118_front,563,22.846938527859436,23.147367014148955,27.170504489086845,27.37650504838406,-1.3149616782273832,PM_118,front
PM_118_side,563,24.941599989421736,22.137321613656873,25.67204231440218,23.1737349830183,11.243378038915775,PM_118,side
PM_126_front,964,22.700757793055992,22.290743009765666,30.002914158198553,30.401183226912494,1.806172230143551,PM_126,front
PM_126_side,962,27.63229261312741,22.73627554957399,30.414623454945787,26.50548722009281,17.71846126595897,PM_126,side
