set,frames,mae_raw,mae_corrected,rmse_raw,rmse_corrected,improvement_pct,subject_id,view_type
PM_008_front,10380,9.674645789840584,8.043459279554746,11.430940693639798,10.79785276725331,16.86042616670017,PM_008,front
PM_008_side,5182,10.189087959710452,8.475687851238686,13.509724872005142,11.878483392675921,16.816030200611372,PM_008,side
PM_022_front,2755,10.554127946104073,7.320318212478202,12.99325089516454,9.601804783323031,30.64023621979675,PM_022,front
PM_022_side,2755,14.936387853405439,11.969687198718878,18.407256763050803,16.180132625572266,19.862236330520595,PM_022,side
PM_029_front,3088,15.06015394444255,16.96537527711375,21.675413081702526,23.277187978258155,-12.650742746054455,PM_029,front
PM_029_side,3088,15.572958239872799,16.637762727237472,19.148199080690624,19.412030355348424,-6.8375222675314316,PM_029,side
PM_038_front,2472,8.054618473230756,7.958733082273593,9.721658339852972,9.688775114037856,1.1904398858348713,PM_038,front
PM_038_side,2472,10.451136275979094,10.82324170991204,12.924492347108066,13.627375538121353,-3.560430407822675,PM_038,side
PM_043_front,3462,9.307302248666174,8.874781748145093,11.650780038272398,11.817443415791553,4.6471092155953695,PM_043,front
PM_043_side,3462,11.325571714307605,10.418346293311666,16.020499230715732,14.616158302005715,8.010416108617637,PM_043,side
PM_105_front,3286,10.503920896815014,8.67452955836985,12.318405462473025,11.25857284526918,17.416271089778203,PM_105,front
PM_105_side,3286,13.045413082158065,11.075678371935107,16.515777135144532,15.734105406596441,15.0990597064107,PM_105,side
PM_113_front,3897,11.306299820849633,12.954797569596556,15.368949645669003,17.4561333575124,-14.58034701774823,PM_113,front
PM_113_side,3897,16.28765109338473,12.194313812027486,18.671483684041892,15.650196305705787,25.131538353125478,PM_113,side
PM_118_front,2461,12.611409343200743,14.009529765733348,16.701990683205942,18.44836062541868,-11.086155278009283,PM_118,front
PM_118_side,2461,13.151857795037605,14.60586401681442,16.710033181215273,17.92712536080822,-11.055519641684644,PM_118,side
PM_126_front,3400,12.796898711817756,14.30463271038947,19.014034211938935,20.68914225316262,-11.782026509120863,PM_126,front
PM_126_side,3398,16.577424844526746,15.173593143724553,20.45349340410683,19.53235764711366,8.468333978094837,PM_126,side
